域名,可达性,直接查询ip地址,无污染ip地址
uoguelph.ca,unreachable,131.104.93.93,131.104.93.93
cnr.it,unreachable,150.146.205.11,150.146.205.11
tagesschau.de,unreachable,74.86.142.55,88.215.213.26
us-cert.gov,unreachable,173.252.133.166,
newschool.edu,unreachable,34.224.59.84,34.224.59.84
regulations.gov,unreachable,134.67.98.71,
uottawa.ca,unreachable,137.122.8.77,137.122.8.77
d.hatena.ne.jp,unreachable,"54.238.134.73, 54.65.179.122",
ems.com.cn,unreachable,211.156.201.16,211.156.201.16
leo.org,unreachable,80.190.158.9,80.190.158.9
freelancer.com,unreachable,"52.73.178.123, 52.3.65.74, 54.209.19.165","34.193.180.66, 18.206.9.77, 54.88.15.151"
udn.com,unreachable,174.37.154.236,23.59.4.133
thejakartapost.com,unreachable,66.220.152.17,69.171.224.12
eugdpr.org,unreachable,3.8.30.82,
mattel.com,unreachable,156.20.172.22,156.20.172.22
koreatimes.co.kr,unreachable,52.231.65.2,52.231.65.2
unr.edu,unreachable,134.197.15.101,
unwomen.org,unreachable,13.90.255.19,
bitcointalk.org,unreachable,59.24.3.173,243.185.187.39
knightlab.com,unreachable,23.23.237.182,23.23.237.182
weddingwire.com,unreachable,213.27.154.204,
mozilla-europe.org,unreachable,63.245.213.12,63.245.213.12
diplo.de,unreachable,46.243.125.96,46.243.125.96
online.de,unreachable,212.227.0.72,212.227.0.72
nxp.com,unreachable,192.88.156.33,192.88.156.33
dailystrength.org,unreachable,104.255.93.67,104.255.93.67
chinasafety.gov.cn,unreachable,59.252.100.0,
gu.se,unreachable,130.241.151.114,130.241.151.114
thepiratebay.org,unreachable,75.126.150.210,"162.159.137.79, 162.159.138.79"
rr.com,unreachable,"71.74.180.193, 71.74.186.228",
xmu.edu.cn,unreachable,210.34.0.12,
eventbrite.ca,unreachable,"52.22.172.91, 18.215.76.51, 34.197.148.4, 18.235.224.167, 34.224.9.38, 34.204.250.133, 18.214.254.157, 34.205.126.7",
oanda.com,unreachable,198.105.26.96,198.105.26.96
ushmm.org,unreachable,159.63.132.30,
google.com.ar,unreachable,31.13.81.17,216.58.200.227
nrk.no,unreachable,31.13.86.16,"173.205.28.16, 173.205.28.49"
photo.net,unreachable,54.236.123.137,54.236.123.137
curtin.edu.au,unreachable,52.64.39.142,52.64.39.142
