域名,可达性,直接查询ip地址,无污染ip地址
itunes.apple.com,alive,"163.177.243.64, 113.8.150.10, 60.213.22.67, 111.161.121.7",104.124.191.222
wordpress.com,alive,"192.0.78.17, 192.0.78.9","192.0.78.9, 192.0.78.17"
download.macromedia.com,alive,23.210.82.41,
linkedin.com,alive,108.174.10.10,
adobe.com,alive,"193.104.215.58, 192.147.130.204",
parked-content.godaddy.com,alive,173.223.175.102,173.223.175.102
bit.ly,alive,"67.199.248.10, 67.199.248.11","67.199.248.10, 67.199.248.11"
qq.com,alive,"182.254.34.74, 182.254.18.159, 182.254.74.167",
go.microsoft.com,alive,104.97.238.220,104.85.64.87
yahoo.com,alive,"72.30.35.9, 98.137.246.8, 72.30.35.10, 98.137.246.7, 98.138.219.232, 98.138.219.231","72.30.35.10, 98.137.246.8, 98.138.219.231, 98.138.219.232, 72.30.35.9, 98.137.246.7"
wordpress.org,alive,198.143.164.252,198.143.164.252
amazon.com,alive,"176.32.103.205, 205.251.242.103, 176.32.98.166","205.251.242.103, 176.32.103.205, 176.32.98.166"
godaddy.com,alive,208.109.192.70,208.109.192.70
apache.org,alive,"95.216.24.32, 40.79.78.1","40.79.78.1, 95.216.24.32"
gravatar.com,alive,"192.0.80.240, 192.0.80.241, 192.0.80.242, 192.0.80.239","192.0.80.240, 192.0.80.241, 192.0.80.242, 192.0.80.239"
weibo.com,alive,121.194.0.221,121.194.0.221
get.adobe.com,alive,192.147.130.63,192.147.130.63
sourceforge.net,alive,216.105.38.13,216.105.38.13
w3.org,alive,128.30.52.100,128.30.52.100
forbes.com,alive,"151.101.2.49, 151.101.194.49, 151.101.130.49, 151.101.66.49","151.101.66.49, 151.101.194.49, 151.101.2.49, 151.101.130.49"
cnn.com,alive,"151.101.1.67, 151.101.65.67, 151.101.129.67, 151.101.193.67","151.101.193.67, 151.101.1.67, 151.101.129.67, 151.101.65.67"
amazonaws.com,alive,"72.21.210.29, 72.21.206.80, 207.171.166.22","72.21.210.29, 207.171.166.22, 72.21.206.80"
nih.gov,alive,54.235.145.223,54.235.145.223
weebly.com,alive,"74.115.50.110, 74.115.50.109","74.115.50.110, 74.115.50.109"
httpd.apache.org,alive,"40.79.78.1, 95.216.24.32","40.79.78.1, 95.216.24.32"
bing.com,alive,"13.107.21.200, 204.79.197.200","13.107.21.200, 204.79.197.200"
creativecommons.org,alive,"104.20.150.16, 104.20.151.16","104.20.150.16, 104.20.151.16"
github.io,alive,"185.199.109.153, 185.199.108.153, 185.199.111.153, 185.199.110.153","185.199.108.153, 185.199.110.153, 185.199.111.153, 185.199.109.153"
wpa.qq.com,alive,121.51.8.34,
live.com,alive,204.79.197.212,204.79.197.212
virginmedia.com,alive,213.105.9.24,213.105.9.24
vk.com,alive,"87.240.190.72, 87.240.190.78, 93.186.225.208, 87.240.139.194, 87.240.190.67","87.240.190.67, 87.240.190.72, 87.240.190.78, 93.186.225.208, 87.240.139.194"
gnu.org,alive,209.51.188.148,209.51.188.148
wp.com,alive,"192.0.78.25, 192.0.78.24","192.0.78.24, 192.0.78.25"
sina.com.cn,alive,"123.126.157.222, 123.126.55.41","123.126.55.41, 123.126.157.222"
mit.edu,alive,104.75.242.18,104.75.242.18
wikimedia.org,alive,198.35.26.96,198.35.26.96
fpdownload.macromedia.com,alive,23.210.82.41,23.210.82.41
harvard.edu,alive,23.185.0.1,23.185.0.1
wix.com,alive,185.230.63.164,185.230.63.164
opera.com,alive,"185.26.182.103, 185.26.182.104","185.26.182.103, 185.26.182.104"
huffingtonpost.com,alive,"74.6.136.153, 98.136.103.26, 124.108.115.103, 106.10.248.153, 212.82.100.153","106.10.248.153, 212.82.100.153, 74.6.136.153, 124.108.115.103, 98.136.103.26"
validator.w3.org,alive,128.30.52.39,128.30.52.39
domainmarket.com,alive,"104.31.89.137, 104.31.88.137","104.31.89.137, 104.31.88.137"
go.com,alive,23.236.60.174,23.236.60.174
youku.com,alive,106.11.186.1,106.11.186.1
stanford.edu,alive,171.67.215.200,
cpanel.com,alive,"208.74.121.151, 208.74.123.84","208.74.121.151, 208.74.123.84"
cnet.com,alive,35.190.79.82,35.190.79.82
sciencedirect.com,alive,"162.159.130.81, 162.159.129.81","162.159.130.81, 162.159.129.81"
cloudflare.com,alive,"198.41.214.162, 198.41.215.162","198.41.215.162, 198.41.214.162"
163.com,alive,"123.58.180.8, 123.58.180.7","123.58.180.7, 123.58.180.8"
aol.com,alive,"106.10.218.150, 188.125.72.165, 66.218.87.12, 67.195.231.10, 124.108.115.87","106.10.218.150, 188.125.72.165, 66.218.87.12, 67.195.231.10, 124.108.115.87"
debian.org,alive,"128.31.0.62, 149.20.4.15, 130.89.148.77","149.20.4.15, 128.31.0.62, 130.89.148.77"
mp.weixin.qq.com,alive,"121.51.79.206, 182.254.79.100, 182.254.79.46, 182.254.88.202",
taobao.com,alive,"140.205.220.96, 140.205.94.189","140.205.220.96, 140.205.94.189"
dropcatch.com,alive,"104.25.66.17, 104.25.67.17","104.25.66.17, 104.25.67.17"
usatoday.com,alive,159.54.242.176,159.54.242.176
spotify.com,alive,"104.199.240.211, 104.199.64.136, 104.154.127.47","104.199.240.211, 104.154.127.47, 104.199.64.136"
wired.com,alive,"151.101.66.194, 151.101.2.194, 151.101.194.194, 151.101.130.194","151.101.66.194, 151.101.130.194, 151.101.2.194, 151.101.194.194"
i0.wp.com,alive,192.0.77.2,192.0.77.2
i1.wp.com,alive,192.0.77.2,192.0.77.2
statcounter.com,alive,"104.20.2.47, 104.20.3.47","104.20.2.47, 104.20.3.47"
sohu.com,alive,"123.125.116.28, 220.181.90.52, 221.179.177.36","221.179.177.36, 123.125.116.28, 220.181.90.52"
i2.wp.com,alive,192.0.77.2,192.0.77.2
nginx.org,alive,"62.210.92.35, 95.211.80.227","62.210.92.35, 95.211.80.227"
miit.gov.cn,alive,202.106.121.6,202.106.121.6
ted.com,alive,"52.87.48.62, 34.237.250.37","34.237.250.37, 52.87.48.62"
free.fr,alive,212.27.48.10,212.27.48.10
v.qq.com,alive,"58.205.214.141, 58.205.214.142","58.205.214.141, 58.205.214.142"
gc.ca,alive,205.193.215.2,205.193.215.2
about.com,alive,"151.101.194.114, 151.101.2.114, 151.101.66.114, 151.101.130.114","151.101.194.114, 151.101.2.114, 151.101.66.114, 151.101.130.114"
loc.gov,alive,"104.16.245.35, 104.16.244.35, 104.16.248.35, 104.16.247.35, 104.16.246.35","104.16.247.35, 104.16.246.35, 104.16.245.35, 104.16.244.35, 104.16.248.35"
ietf.org,alive,4.31.198.44,4.31.198.44
jimdo.com,alive,"151.101.130.2, 151.101.194.2, 151.101.2.2, 151.101.66.2","151.101.130.2, 151.101.194.2, 151.101.2.2, 151.101.66.2"
stumbleupon.com,alive,"54.192.151.58, 54.192.151.30, 54.192.151.124, 54.192.151.35","54.192.151.30, 54.192.151.124, 54.192.151.58, 54.192.151.35"
techcrunch.com,alive,152.195.50.33,152.195.50.33
npr.org,alive,216.35.221.76,216.35.221.76
nationalgeographic.com,alive,96.16.116.112,23.57.112.227
washington.edu,alive,"54.214.77.106, 128.95.155.197, 128.95.155.198, 128.95.155.135, 128.95.155.134","128.95.155.197, 54.214.77.106, 128.95.155.134, 128.95.155.135, 128.95.155.198"
yelp.com,alive,151.101.76.116,151.101.76.116
typepad.com,alive,"104.18.138.190, 104.18.136.190, 104.18.137.190, 104.18.140.190, 104.18.139.190","104.18.139.190, 104.18.136.190, 104.18.137.190, 104.18.138.190, 104.18.140.190"
doi.org,alive,"104.26.9.237, 104.26.8.237","104.26.8.237, 104.26.9.237"
nginx.com,alive,"206.251.255.62, 95.211.80.227","206.251.255.62, 95.211.80.227"
office.com,alive,13.107.6.156,13.107.6.156
launchpad.net,alive,"91.189.89.223, 91.189.89.222","91.189.89.222, 91.189.89.223"
kickstarter.com,alive,"151.101.130.217, 151.101.66.217, 151.101.2.217, 151.101.194.217",
open.spotify.com,alive,35.186.224.30,35.186.224.30
amazon.co.uk,alive,"54.239.34.171, 54.239.33.58, 178.236.7.220","54.239.33.58, 54.239.34.171, 178.236.7.220"
themeforest.net,alive,"104.18.30.233, 104.18.31.233","104.18.30.233, 104.18.31.233"
scribd.com,alive,"151.101.2.152, 151.101.194.152, 151.101.66.152, 151.101.130.152","151.101.2.152, 151.101.130.152, 151.101.66.152, 151.101.194.152"
amzn.to,alive,"67.199.248.12, 67.199.248.13","67.199.248.12, 67.199.248.13"
apps.apple.com,alive,"113.8.150.10, 111.161.121.7, 60.213.22.67, 163.177.243.64","113.8.150.10, 163.177.243.64, 60.213.22.67, 111.161.121.7"
ft.com,alive,"151.101.2.109, 151.101.194.109, 151.101.130.109, 151.101.66.109","151.101.2.109, 151.101.194.109, 151.101.130.109, 151.101.66.109"
webs.com,alive,"104.17.119.40, 104.16.140.31","104.17.119.40, 104.16.140.31"
alibaba.com,alive,"106.11.223.101, 106.11.208.151","106.11.223.101, 106.11.208.151"
livejournal.com,alive,81.19.74.4,81.19.74.2
tripadvisor.com,alive,"192.229.162.112, 192.229.189.15, 192.229.182.112","192.229.189.15, 192.229.182.112, 192.229.162.112"
ifeng.com,alive,123.103.122.24,123.103.122.24
marriott.com,alive,104.118.133.179,104.118.133.179
researchgate.net,alive,"209.15.209.74, 209.15.209.72, 209.15.209.70, 209.15.209.75","209.15.209.74, 209.15.209.72, 209.15.209.70, 209.15.209.75"
cbsnews.com,alive,64.30.228.126,64.30.228.126
abcnews.go.com,alive,"13.35.99.111, 13.35.99.46, 13.35.99.69, 13.35.99.15","13.35.99.69, 13.35.99.111, 13.35.99.15, 13.35.99.46"
arnebrachhold.de,alive,"104.28.28.46, 104.28.29.46","104.28.28.46, 104.28.29.46"
squarespace.com,alive,"198.49.23.177, 198.49.23.176, 198.185.159.176, 198.185.159.177","198.185.159.177, 198.49.23.176, 198.49.23.177, 198.185.159.176"
mailchimp.com,alive,104.98.1.130,104.98.1.130
mashable.com,alive,"23.44.172.112, 23.44.172.146","23.44.172.112, 23.44.172.146"
buzzfeed.com,alive,"54.192.151.116, 54.192.151.109, 54.192.151.44, 54.192.151.74","54.192.151.44, 54.192.151.109, 54.192.151.116, 54.192.151.74"
tripod.com,alive,209.202.252.55,209.202.252.55
eepurl.com,alive,104.98.0.21,104.98.0.21
sun.com,alive,156.151.59.35,156.151.59.35
webmd.com,alive,"104.16.65.82, 104.16.66.82","104.16.65.82, 104.16.66.82"
geocities.com,alive,"74.6.52.11, 67.195.197.23","67.195.197.23, 74.6.52.11"
theverge.com,alive,"151.101.65.52, 151.101.129.52, 151.101.193.52, 151.101.1.52","151.101.129.52, 151.101.1.52, 151.101.193.52, 151.101.65.52"
disqus.com,alive,31.13.83.1,"151.101.128.134, 151.101.0.134, 151.101.192.134, 151.101.64.134"
yale.edu,alive,"104.16.243.4, 104.16.242.46, 104.16.245.46, 104.16.241.46","104.16.242.46, 104.16.243.4, 104.16.245.46, 104.16.241.46"
foxnews.com,alive,104.84.157.85,104.84.157.85
jigsaw.w3.org,alive,128.30.52.21,128.30.52.21
bitly.com,alive,"67.199.248.14, 67.199.248.15","67.199.248.14, 67.199.248.15"
photobucket.com,alive,209.17.68.100,209.17.68.100
de.wikipedia.org,alive,31.13.64.49,198.35.26.96
www.beian.miit.gov.cn,alive,118.212.233.203,
bandcamp.com,alive,"151.101.1.28, 151.101.129.28, 151.101.193.28, 151.101.65.28","151.101.1.28, 151.101.129.28, 151.101.193.28, 151.101.65.28"
whitehouse.gov,alive,104.76.10.94,23.13.88.76
engadget.com,alive,"124.108.115.87, 67.195.231.10, 106.10.218.150, 66.218.87.12, 188.125.72.165","124.108.115.87, 106.10.218.150, 67.195.231.10, 188.125.72.165, 66.218.87.12"
wikia.com,alive,"151.101.0.194, 151.101.192.194, 151.101.64.194, 151.101.128.194","151.101.128.194, 151.101.192.194, 151.101.64.194, 151.101.0.194"
talktalk.co.uk,alive,107.162.133.62,107.162.133.62
psu.edu,alive,"128.118.146.130, 128.118.146.135, 128.118.142.105, 146.186.15.17, 146.186.16.57, 146.186.157.8, 128.118.142.114","128.118.146.130, 128.118.142.114, 146.186.157.8, 128.118.146.135, 146.186.15.17, 146.186.16.57, 128.118.142.105"
stackoverflow.com,alive,"151.101.1.69, 151.101.65.69, 151.101.129.69, 151.101.193.69","151.101.1.69, 151.101.65.69, 151.101.129.69, 151.101.193.69"
zdnet.com,alive,64.30.228.118,64.30.228.118
example.com,alive,93.184.216.34,93.184.216.34
cisco.com,alive,72.163.4.185,
upload.wikimedia.org,alive,198.35.26.112,198.35.26.112
forms.gle,alive,"151.101.1.195, 151.101.65.195","151.101.1.195, 151.101.65.195"
so.com,alive,101.198.191.62,101.198.191.62
tandfonline.com,alive,65.156.1.60,65.156.1.60
oreilly.com,alive,"199.27.145.65, 199.27.145.64","199.27.145.64, 199.27.145.65"
gizmodo.com,alive,"151.101.66.166, 151.101.194.166, 151.101.130.166, 151.101.2.166","151.101.66.166, 151.101.130.166, 151.101.2.166, 151.101.194.166"
sciencedaily.com,alive,"54.192.151.33, 54.192.151.26, 54.192.151.6, 54.192.151.37","54.192.151.6, 54.192.151.33, 54.192.151.26, 54.192.151.37"
dx.doi.org,alive,"104.26.8.237, 104.26.9.237","104.26.8.237, 104.26.9.237"
wikihow.com,alive,"151.101.2.110, 151.101.194.110, 151.101.130.110, 151.101.66.110","151.101.2.110, 151.101.194.110, 151.101.130.110, 151.101.66.110"
v.youku.com,alive,106.11.209.3,
businesswire.com,alive,23.64.155.44,23.64.155.44
zend.com,alive,52.36.131.229,52.36.131.229
tmall.com,alive,"140.205.94.193, 140.205.130.99",
sagepub.com,alive,208.88.132.56,208.88.132.56
vkontakte.ru,alive,"87.240.190.78, 93.186.225.208, 87.240.139.194, 87.240.190.67, 87.240.190.72","87.240.190.78, 93.186.225.208, 87.240.139.194, 87.240.190.67, 87.240.190.72"
giphy.com,alive,"151.101.1.185, 151.101.193.185, 151.101.129.185, 151.101.65.185","151.101.65.185, 151.101.129.185, 151.101.193.185, 151.101.1.185"
www.gov.cn,alive,"58.205.210.81, 58.205.210.78, 58.205.210.82, 58.205.210.79, 58.205.210.80, 58.205.210.77","58.205.210.81, 58.205.210.78, 58.205.210.82, 58.205.210.79, 58.205.210.80, 58.205.210.77"
t.qq.com,alive,121.51.77.185,121.51.77.185
oup.com,alive,193.67.163.111,193.67.163.111
parallels.com,alive,195.214.234.136,195.214.234.136
fastcompany.com,alive,"151.101.1.54, 151.101.129.54, 151.101.65.54, 151.101.193.54",
jd.com,alive,"120.52.148.118, 111.13.149.108, 118.193.98.63",
constantcontact.com,alive,208.75.122.14,208.75.122.14
marketwatch.com,alive,"54.192.151.88, 54.192.151.95, 54.192.151.108, 54.192.151.79","54.192.151.108, 54.192.151.88, 54.192.151.79, 54.192.151.95"
ucla.edu,alive,128.97.27.37,128.97.27.37
utexas.edu,alive,23.185.0.4,23.185.0.4
umn.edu,alive,134.84.159.77,134.84.159.77
hbr.org,alive,"54.192.151.44, 54.192.151.38, 54.192.151.70, 54.192.151.81","54.192.151.70, 54.192.151.38, 54.192.151.81, 54.192.151.44"
blog.sina.com.cn,alive,49.7.37.126,49.7.37.126
cam.ac.uk,alive,128.232.132.8,128.232.132.8
aboutads.info,alive,192.237.192.41,
shopify.com,alive,35.185.82.132,35.185.82.132
yandex.ru,alive,"5.255.255.60, 77.88.55.60, 77.88.55.66, 5.255.255.55","5.255.255.60, 5.255.255.55, 77.88.55.66, 77.88.55.60"
elegantthemes.com,alive,"104.16.96.106, 104.16.97.106","104.16.96.106, 104.16.97.106"
allaboutcookies.org,alive,"104.20.70.198, 104.20.69.198","104.20.70.198, 104.20.69.198"
netscape.com,alive,"98.136.103.26, 124.108.115.103, 212.82.100.153, 74.6.136.153, 106.10.248.153","74.6.136.153, 212.82.100.153, 106.10.248.153, 98.136.103.26, 124.108.115.103"
ieee.org,alive,140.98.193.152,140.98.193.152
cmu.edu,alive,128.2.42.10,128.2.42.10
pixabay.com,alive,"104.18.141.87, 104.18.82.97","104.18.141.87, 104.18.82.97"
myshopify.com,alive,23.227.38.32,
inc.com,alive,"151.101.2.58, 151.101.194.58, 151.101.130.58, 151.101.66.58","151.101.130.58, 151.101.2.58, 151.101.194.58, 151.101.66.58"
amazon.de,alive,"176.32.108.185, 52.95.120.34, 54.239.39.102","176.32.108.185, 54.239.39.102, 52.95.120.34"
360.cn,alive,36.110.213.10,36.110.213.10
mailchi.mp,alive,104.94.73.105,104.94.73.105
psychologytoday.com,alive,"35.169.119.193, 54.165.17.100","54.165.17.100, 35.169.119.193"
fc2.com,alive,"35.155.180.173, 34.212.55.67","35.155.180.173, 34.212.55.67"
1688.com,alive,"140.205.174.2, 42.156.140.12","140.205.174.2, 42.156.140.12"
joomla.org,alive,"107.154.148.133, 107.154.146.133","107.154.148.133, 107.154.146.133"
arstechnica.com,alive,50.31.169.131,
chinanews.com,alive,"218.197.18.174, 116.138.176.53","218.197.18.174, 116.138.176.53"
indiegogo.com,alive,"151.101.64.253, 151.101.0.253, 151.101.128.253, 151.101.192.253","151.101.64.253, 151.101.192.253, 151.101.0.253, 151.101.128.253"
cctv.com,alive,202.108.8.82,202.108.8.82
howstuffworks.com,alive,"54.192.151.73, 54.192.151.37, 54.192.151.78, 54.192.151.56","54.192.151.78, 54.192.151.37, 54.192.151.56, 54.192.151.73"
sfgate.com,alive,98.129.228.59,98.129.228.59
bmj.com,alive,"54.192.151.94, 54.192.151.53, 54.192.151.19, 54.192.151.121","54.192.151.121, 54.192.151.19, 54.192.151.53, 54.192.151.94"
bbb.org,alive,216.52.119.101,216.52.119.101
hexun.com,alive,42.81.124.69,42.81.124.69
mediafire.com,alive,"104.16.202.237, 104.16.203.237","104.16.203.237, 104.16.202.237"
angelfire.com,alive,209.202.252.41,209.202.252.41
bizjournals.com,alive,"107.154.102.27, 107.154.103.27","107.154.103.27, 107.154.102.27"
ubuntu.com,alive,"91.189.89.118, 91.189.89.110, 91.189.89.115, 91.189.89.103, 91.189.90.59, 91.189.90.58",
aliexpress.com,alive,"140.205.164.8, 140.205.34.60","140.205.164.8, 140.205.34.60"
steampowered.com,alive,184.31.165.63,184.31.165.63
mirror.co.uk,alive,"52.210.119.222, 18.200.12.142","18.200.12.142, 52.210.119.222"
duke.edu,alive,152.3.72.197,152.3.72.197
newsweek.com,alive,"100.24.220.106, 52.44.160.231","52.44.160.231, 100.24.220.106"
cbslocal.com,alive,192.0.66.136,192.0.66.136
umd.edu,alive,"99.84.181.87, 99.84.181.61, 99.84.181.58, 99.84.181.52","99.84.181.52, 99.84.181.87, 99.84.181.61, 99.84.181.58"
ufl.edu,alive,128.227.9.98,128.227.9.98
earthlink.net,alive,23.185.0.2,23.185.0.2
over-blog.com,alive,195.20.13.122,195.20.13.122
deloitte.com,alive,170.194.156.208,170.194.156.208
ftc.gov,alive,23.218.8.108,23.218.8.108
usc.edu,alive,"50.59.168.94, 128.125.253.136","50.59.168.94, 128.125.253.136"
evernote.com,alive,35.190.29.187,
smh.com.au,alive,"54.192.151.126, 54.192.151.87, 54.192.151.29, 54.192.151.10","54.192.151.10, 54.192.151.126, 54.192.151.29, 54.192.151.87"
mozilla.com,alive,63.245.208.194,63.245.208.194
outlook.com,alive,"40.97.164.146, 40.97.156.114, 40.97.161.50, 40.97.153.146, 40.97.128.194, 40.97.160.2, 40.97.148.226","40.97.148.226, 40.97.164.146, 40.97.156.114, 40.97.161.50, 40.97.153.146, 40.97.128.194, 40.97.160.2"
elsevier.com,alive,43.245.43.18,43.245.43.18
jquery.com,alive,"104.16.14.15, 104.16.15.15","104.16.14.15, 104.16.15.15"
thesun.co.uk,alive,192.0.66.2,192.0.66.2
afternic.com,alive,208.109.4.32,208.109.4.32
widgets.wp.com,alive,192.0.77.32,192.0.77.32
foursquare.com,alive,"151.101.192.154, 151.101.128.154, 151.101.0.154, 151.101.64.154","151.101.0.154, 151.101.128.154, 151.101.192.154, 151.101.64.154"
spb.ru,alive,178.210.74.11,178.210.74.11
postgresql.org,alive,217.196.149.50,217.196.149.50
store.steampowered.com,alive,23.214.48.37,23.214.48.37
ucsd.edu,alive,132.239.180.101,132.239.180.101
slabeste-acum.ro,alive,176.223.126.67,176.223.126.67
box.com,alive,103.116.4.196,103.116.4.196
aliyun.com,alive,"140.205.135.3, 140.205.60.46, 106.11.249.99, 106.11.248.146, 106.11.248.144, 106.11.248.100, 106.11.248.82, 106.11.248.38, 106.11.95.37, 106.11.62.15, 106.11.61.69","140.205.135.3, 140.205.60.46, 106.11.249.99, 106.11.248.146, 106.11.248.144, 106.11.248.100, 106.11.248.82, 106.11.248.38, 106.11.95.37, 106.11.62.15, 106.11.61.69"
google.cn,alive,"203.208.50.55, 203.208.50.56, 203.208.50.63, 203.208.50.47","203.208.43.95, 203.208.43.87, 203.208.43.79, 203.208.43.88"
merriam-webster.com,alive,"54.192.151.21, 54.192.151.129, 54.192.151.85, 54.192.151.128","54.192.151.129, 54.192.151.21, 54.192.151.85, 54.192.151.128"
m.vk.com,alive,"87.240.190.72, 87.240.190.78, 93.186.225.208, 87.240.139.194, 87.240.190.67","87.240.139.194, 87.240.190.67, 87.240.190.72, 87.240.190.78, 93.186.225.208"
xing.com,alive,109.233.159.254,109.233.159.254
cntv.cn,alive,202.108.8.151,202.108.8.151
venturebeat.com,alive,192.0.66.2,192.0.66.2
python.org,alive,45.55.99.72,45.55.99.72
dmoz.org,alive,"212.82.100.150, 106.10.248.150, 124.108.115.100, 74.6.136.150, 98.136.103.23","212.82.100.150, 106.10.248.150, 124.108.115.100, 74.6.136.150, 98.136.103.23"
fao.org,alive,"45.60.124.13, 45.60.130.13","45.60.124.13, 45.60.130.13"
weather.com,alive,23.64.4.191,23.219.34.210
wiktionary.org,alive,198.35.26.96,198.35.26.96
openssl.org,alive,194.97.150.230,194.97.150.230
pnas.org,alive,104.232.27.118,104.232.27.118
yahoo.co.jp,alive,"182.22.59.229, 183.79.135.206","183.79.135.206, 182.22.59.229"
businessweek.com,alive,"69.187.24.11, 69.191.252.148, 69.191.252.11, 69.187.23.20","69.191.252.148, 69.187.24.11, 69.191.252.11, 69.187.23.20"
investopedia.com,alive,"151.101.2.114, 151.101.66.114, 151.101.130.114, 151.101.194.114","151.101.2.114, 151.101.66.114, 151.101.130.114, 151.101.194.114"
freebsd.org,alive,96.47.72.84,96.47.72.84
senate.gov,alive,23.58.227.119,104.122.86.111
51.la,alive,14.17.102.104,14.17.102.104
variety.com,alive,"192.0.79.33, 192.0.79.32","192.0.79.32, 192.0.79.33"
drupal.org,alive,"151.101.66.217, 151.101.130.217, 151.101.2.217, 151.101.194.217","151.101.2.217, 151.101.194.217, 151.101.130.217, 151.101.66.217"
wa.me,alive,"108.168.254.65, 169.55.60.170, 108.168.255.227, 169.55.60.148","108.168.254.65, 108.168.255.227, 169.55.60.148, 169.55.60.170"
000webhostapp.com,alive,153.92.0.100,153.92.0.100
openstreetmap.org,alive,"130.117.76.13, 130.117.76.12, 130.117.76.11","130.117.76.13, 130.117.76.12, 130.117.76.11"
livescience.com,alive,"185.113.25.55, 185.113.25.56","185.113.25.56, 185.113.25.55"
wufoo.com,alive,64.191.16.80,64.191.16.80
beian.miit.gov.cn,alive,118.212.233.203,118.212.233.203
delicious.com,alive,52.216.106.74,52.216.228.210
newscientist.com,alive,"104.20.250.128, 104.20.249.128","104.20.250.128, 104.20.249.128"
boston.com,alive,"151.101.128.153, 151.101.192.153, 151.101.64.153, 151.101.0.153","151.101.0.153, 151.101.192.153, 151.101.128.153, 151.101.64.153"
yolasite.com,alive,"104.16.159.215, 104.16.160.215, 104.16.162.215, 104.16.163.215, 104.16.161.215","104.16.163.215, 104.16.162.215, 104.16.159.215, 104.16.160.215, 104.16.161.215"
java.com,alive,104.98.202.243,104.98.202.243
udel.edu,alive,128.175.13.92,128.175.13.92
vmware.com,alive,"45.60.11.183, 45.60.101.183","45.60.101.183, 45.60.11.183"
timeanddate.com,alive,"209.68.24.127, 64.130.3.227","209.68.24.127, 64.130.3.227"
instructables.com,alive,"151.101.1.105, 151.101.129.105, 151.101.65.105, 151.101.193.105","151.101.1.105, 151.101.129.105, 151.101.193.105, 151.101.65.105"
salesforce.com,alive,"136.147.41.2, 136.147.57.1, 136.147.40.2, 136.147.56.1","136.147.41.2, 136.147.56.1, 136.147.40.2, 136.147.57.1"
phpbb.com,alive,140.211.15.244,140.211.15.244
jhu.edu,alive,128.220.192.230,128.220.192.230
rollingstone.com,alive,"151.101.64.69, 151.101.128.69, 151.101.192.69, 151.101.0.69","151.101.192.69, 151.101.64.69, 151.101.0.69, 151.101.128.69"
thoughtco.com,alive,"151.101.2.114, 151.101.66.114, 151.101.130.114, 151.101.194.114",
sec.gov,alive,104.76.21.245,23.59.12.170
indiana.edu,alive,"129.79.78.193, 129.79.78.192","129.79.78.193, 129.79.78.192"
iana.org,alive,192.0.43.8,192.0.43.8
nokia.com,alive,162.13.40.196,162.13.40.196
rutgers.edu,alive,"128.6.68.140, 23.185.0.1",
virginia.edu,alive,"128.143.22.36, 128.143.33.150, 128.143.33.137, 128.143.33.144","128.143.22.36, 128.143.33.150, 128.143.33.137, 128.143.33.144"
express.co.uk,alive,"13.33.231.62, 13.33.231.118, 13.33.231.10, 13.33.231.16","13.225.146.74, 13.225.146.122, 13.225.146.123, 13.225.146.116"
opensource.org,alive,159.65.34.8,159.65.34.8
nike.com,alive,146.197.184.71,146.197.184.71
wiki.apache.org,alive,209.188.14.165,209.188.14.165
finance.sina.com.cn,alive,"58.205.212.27, 58.205.212.26","58.205.212.27, 58.205.212.26"
fandom.com,alive,"151.101.64.194, 151.101.192.194, 151.101.128.194, 151.101.0.194","151.101.64.194, 151.101.192.194, 151.101.128.194, 151.101.0.194"
ucdavis.edu,alive,23.185.0.4,23.185.0.4
mail.ru,alive,"217.69.139.202, 94.100.180.202, 217.69.139.200, 94.100.180.200","94.100.180.200, 217.69.139.202, 94.100.180.202, 217.69.139.200"
pcworld.com,alive,"151.101.66.165, 151.101.130.165, 151.101.194.165, 151.101.2.165","151.101.2.165, 151.101.66.165, 151.101.130.165, 151.101.194.165"
nvidia.com,alive,216.228.121.209,216.228.121.209
thenextweb.com,alive,104.130.220.65,104.130.220.65
mapquest.com,alive,"106.10.248.153, 98.136.103.26, 74.6.136.153, 124.108.115.103, 212.82.100.153","124.108.115.103, 212.82.100.153, 74.6.136.153, 98.136.103.26, 106.10.248.153"
oxfordjournals.org,alive,193.132.48.225,193.132.48.225
flic.kr,alive,54.192.148.161,54.192.148.161
tinypic.com,alive,"99.84.151.70, 99.84.151.39, 99.84.151.93, 99.84.151.71","99.84.151.93, 99.84.151.71, 99.84.151.70, 99.84.151.39"
gotowebinar.com,alive,216.115.208.242,216.115.208.242
chron.com,alive,98.129.228.59,98.129.228.59
wunderground.com,alive,104.93.1.236,104.93.1.236
kde.org,alive,136.243.103.182,136.243.103.182
hc360.com,alive,117.50.52.18,117.50.52.18
rfc-editor.org,alive,4.31.198.49,4.31.198.49
stackexchange.com,alive,"151.101.1.69, 151.101.65.69, 151.101.129.69, 151.101.193.69","151.101.1.69, 151.101.65.69, 151.101.129.69, 151.101.193.69"
thedailybeast.com,alive,"104.17.86.49, 104.18.202.58","104.17.86.49, 104.18.202.58"
healthline.com,alive,"13.35.99.75, 13.35.99.17, 13.35.99.20, 13.35.99.90","13.225.146.123, 13.225.146.81, 13.225.146.116, 13.225.146.30"
phys.org,alive,72.251.236.55,72.251.236.55
icann.org,alive,192.0.43.7,192.0.43.7
osu.edu,alive,140.254.112.130,
automattic.com,alive,"192.0.78.25, 192.0.78.24","192.0.78.25, 192.0.78.24"
